Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,presence
-120.015688104,36.478167015,187.0,132,42,6083.0,363.0,49.0,314.0,119.0,275.0,275.0,108.0,198.0,39.0,0.0,83.0,109.0,0.0,0.0,107.0,1
-119.881652579,36.4952818903,189.0,132,41,6198.0,366.0,50.0,316.0,119.0,279.0,279.0,108.0,209.0,40.0,0.0,83.0,115.0,0.0,0.0,110.0,1
-119.500475447,36.5610824702,194.0,128,40,6566.0,375.0,54.0,321.0,120.0,290.0,290.0,110.0,302.0,59.0,0.0,85.0,166.0,0.0,0.0,165.0,1
-121.081818105,36.2268266529,158.0,120,46,4572.0,301.0,40.0,260.0,105.0,216.0,220.0,94.0,404.0,82.0,1.0,90.0,234.0,3.0,3.0,229.0,1
-120.300106145,36.3633813289,175.0,133,43,5730.0,346.0,40.0,306.0,99.0,250.0,257.0,99.0,215.0,47.0,0.0,90.0,132.0,1.0,2.0,132.0,1
-119.708248407,36.4779024588,192.0,130,40,6385.0,371.0,53.0,319.0,120.0,285.0,285.0,110.0,237.0,45.0,0.0,84.0,131.0,0.0,0.0,126.0,1
-119.811577498,36.4047384236,190.0,132,41,6254.0,368.0,51.0,317.0,120.0,281.0,281.0,109.0,209.0,40.0,0.0,84.0,116.0,0.0,0.0,111.0,1
-121.057588204,36.1379748248,162.0,119,46,4509.0,303.0,46.0,257.0,99.0,218.0,224.0,99.0,357.0,76.0,1.0,91.0,214.0,3.0,3.0,214.0,1
-119.538079726,36.4483136991,194.0,129,40,6533.0,375.0,54.0,321.0,121.0,290.0,290.0,111.0,265.0,52.0,0.0,85.0,146.0,0.0,0.0,143.0,1
-119.246151368,36.4912591633,198.0,126,38,6860.0,381.0,55.0,325.0,112.0,299.0,299.0,110.0,387.0,76.0,1.0,84.0,209.0,3.0,3.0,209.0,1
-120.048493525,36.3273209395,184.0,133,42,5993.0,359.0,46.0,312.0,117.0,263.0,270.0,105.0,193.0,39.0,0.0,84.0,110.0,2.0,2.0,105.0,1
-120.222059997,36.254165718,179.0,134,43,5798.0,350.0,42.0,307.0,109.0,254.0,261.0,101.0,201.0,43.0,0.0,90.0,120.0,1.0,2.0,120.0,1
-119.361314167,36.4038074575,197.0,128,39,6693.0,378.0,55.0,323.0,114.0,295.0,295.0,112.0,309.0,60.0,0.0,84.0,167.0,0.0,0.0,167.0,1
-119.75469739,36.3178659067,191.0,132,41,6270.0,369.0,51.0,317.0,120.0,282.0,282.0,110.0,203.0,40.0,0.0,84.0,114.0,0.0,0.0,108.0,1
-120.941007207,36.0650563141,163.0,121,46,4657.0,308.0,45.0,263.0,100.0,222.0,228.0,99.0,335.0,71.0,1.0,90.0,199.0,3.0,3.0,198.0,1
-119.550180787,36.3497464954,194.0,130,40,6472.0,374.0,54.0,320.0,121.0,289.0,289.0,111.0,237.0,47.0,0.0,85.0,131.0,0.0,0.0,128.0,1
-121.229600748,35.9884226515,145.0,107,47,3953.0,269.0,41.0,228.0,90.0,193.0,199.0,90.0,436.0,98.0,0.0,96.0,281.0,1.0,2.0,281.0,1
-120.371763334,36.1684981778,169.0,133,44,5596.0,336.0,34.0,302.0,105.0,241.0,248.0,94.0,236.0,51.0,1.0,93.0,146.0,3.0,3.0,143.0,1
-120.191171957,36.1661780194,177.0,134,43,5786.0,348.0,40.0,307.0,111.0,253.0,259.0,100.0,206.0,43.0,0.0,88.0,121.0,1.0,2.0,118.0,1
-119.175287588,36.3432463462,197.0,127,38,6862.0,380.0,54.0,325.0,110.0,298.0,298.0,110.0,380.0,75.0,0.0,84.0,207.0,2.0,2.0,207.0,1
-119.717851431,36.2258231972,192.0,132,41,6291.0,370.0,51.0,318.0,121.0,283.0,283.0,110.0,197.0,39.0,0.0,84.0,111.0,0.0,0.0,105.0,1
-120.881065496,35.9830226484,162.0,120,46,4634.0,305.0,44.0,261.0,98.0,220.0,226.0,98.0,331.0,72.0,0.0,93.0,204.0,2.0,2.0,204.0,1
-119.357842879,36.2915598291,197.0,128,39,6667.0,378.0,55.0,323.0,121.0,294.0,294.0,112.0,281.0,54.0,0.0,84.0,152.0,0.0,0.0,149.0,1
-120.328518391,36.0814317559,162.0,133,44,5558.0,329.0,28.0,300.0,97.0,240.0,241.0,88.0,278.0,55.0,1.0,85.0,155.0,3.0,3.0,154.0,1
-119.504957498,36.1922398222,195.0,130,40,6475.0,375.0,54.0,321.0,122.0,290.0,290.0,112.0,214.0,41.0,0.0,84.0,118.0,0.0,0.0,113.0,1
-120.172217791,36.0400136889,171.0,133,43,5704.0,340.0,35.0,305.0,105.0,245.0,252.0,95.0,217.0,45.0,0.0,87.0,127.0,1.0,2.0,123.0,1
-119.690211005,36.1297044899,193.0,132,41,6307.0,370.0,52.0,318.0,121.0,284.0,284.0,111.0,191.0,37.0,0.0,84.0,108.0,0.0,0.0,102.0,1
-119.239418835,36.214335695,198.0,128,39,6782.0,381.0,56.0,325.0,121.0,298.0,298.0,112.0,303.0,60.0,0.0,84.0,166.0,2.0,2.0,165.0,1
-120.856424995,35.8670887454,159.0,118,46,4540.0,299.0,43.0,256.0,96.0,216.0,222.0,96.0,348.0,76.0,1.0,93.0,215.0,3.0,3.0,215.0,1
-120.070662675,35.9677606895,172.0,134,43,5823.0,343.0,35.0,308.0,106.0,251.0,255.0,95.0,209.0,43.0,0.0,89.0,129.0,1.0,2.0,117.0,1
-119.367191378,36.1010734373,198.0,129,40,6620.0,379.0,56.0,323.0,123.0,295.0,295.0,113.0,232.0,45.0,0.0,84.0,127.0,0.0,0.0,122.0,1
-119.588898203,36.0327466576,194.0,132,41,6353.0,372.0,53.0,319.0,123.0,287.0,287.0,112.0,183.0,35.0,0.0,83.0,103.0,0.0,0.0,96.0,1
-119.224981636,36.0786114469,199.0,128,39,6737.0,381.0,56.0,324.0,123.0,291.0,298.0,113.0,265.0,51.0,0.0,83.0,143.0,2.0,2.0,140.0,1
-120.904887979,35.7302086746,151.0,112,46,4248.0,282.0,42.0,240.0,93.0,204.0,210.0,93.0,431.0,85.0,0.0,89.0,247.0,2.0,2.0,247.0,1
-120.704538635,35.763068591,159.0,121,45,4734.0,304.0,39.0,264.0,104.0,218.0,225.0,94.0,380.0,78.0,1.0,91.0,227.0,3.0,3.0,218.0,1
-119.731278461,35.9565970377,192.0,133,41,6201.0,368.0,51.0,316.0,122.0,273.0,281.0,111.0,172.0,33.0,0.0,82.0,98.0,1.0,2.0,89.0,1
-119.397781008,36.0002101121,198.0,130,40,6556.0,377.0,56.0,322.0,124.0,292.0,293.0,114.0,210.0,40.0,0.0,84.0,116.0,0.0,0.0,110.0,1
-119.56622223,35.9394978266,195.0,132,41,6367.0,373.0,54.0,319.0,123.0,287.0,288.0,113.0,177.0,34.0,0.0,83.0,100.0,0.0,0.0,92.0,1
-119.179367815,35.9869038851,200.0,129,39,6759.0,381.0,56.0,325.0,123.0,298.0,298.0,113.0,265.0,51.0,0.0,83.0,143.0,2.0,2.0,140.0,1
-120.068483992,35.804928709,175.0,133,43,5734.0,344.0,39.0,305.0,110.0,250.0,257.0,99.0,198.0,43.0,0.0,91.0,122.0,1.0,2.0,118.0,1
-119.010947931,35.9937232594,199.0,127,38,6941.0,382.0,54.0,328.0,112.0,301.0,301.0,111.0,341.0,65.0,0.0,83.0,181.0,2.0,2.0,181.0,1
-120.6324152,35.6614130174,159.0,118,45,4634.0,301.0,42.0,258.0,102.0,218.0,224.0,96.0,405.0,84.0,0.0,91.0,236.0,2.0,2.0,236.0,1
-119.666745771,35.8475270166,193.0,132,41,6251.0,369.0,52.0,317.0,123.0,275.0,284.0,112.0,164.0,31.0,0.0,82.0,93.0,2.0,2.0,84.0,1
-119.319303459,35.9057194427,199.0,130,40,6606.0,379.0,56.0,323.0,124.0,286.0,296.0,115.0,211.0,40.0,0.0,82.0,114.0,2.0,2.0,107.0,1
-120.461151433,35.6558317527,159.0,124,45,4936.0,309.0,35.0,273.0,99.0,222.0,229.0,92.0,365.0,74.0,0.0,90.0,210.0,1.0,2.0,207.0,1
-119.796224349,35.7873803988,188.0,133,42,6027.0,361.0,48.0,312.0,120.0,267.0,275.0,109.0,162.0,32.0,0.0,85.0,96.0,1.0,2.0,88.0,1
-119.903655226,35.7354602685,183.0,133,43,5894.0,354.0,45.0,309.0,116.0,260.0,268.0,106.0,169.0,34.0,0.0,86.0,100.0,1.0,2.0,93.0,1
-120.741220665,35.5547536764,155.0,112,46,4320.0,287.0,44.0,242.0,96.0,208.0,215.0,96.0,395.0,89.0,0.0,95.0,249.0,1.0,2.0,249.0,1
-120.609297327,35.5726232865,156.0,117,45,4579.0,295.0,40.0,255.0,95.0,213.0,220.0,94.0,468.0,95.0,1.0,90.0,267.0,3.0,3.0,267.0,1
-119.180026586,35.8592215073,199.0,129,39,6720.0,380.0,55.0,324.0,123.0,297.0,297.0,113.0,241.0,45.0,0.0,82.0,129.0,2.0,2.0,123.0,1
-119.48941126,35.7950082815,197.0,131,41,6406.0,374.0,55.0,319.0,124.0,281.0,290.0,114.0,172.0,33.0,0.0,83.0,97.0,2.0,2.0,88.0,1
-119.288466385,35.8182601463,199.0,130,40,6622.0,379.0,56.0,323.0,124.0,289.0,296.0,115.0,209.0,38.0,0.0,81.0,112.0,2.0,2.0,104.0,1
-119.616389595,35.7455228383,194.0,132,41,6237.0,369.0,53.0,316.0,123.0,276.0,284.0,113.0,155.0,30.0,0.0,82.0,89.0,1.0,2.0,78.0,1
-119.743817213,35.6902431477,190.0,133,42,6073.0,363.0,50.0,313.0,121.0,270.0,278.0,111.0,148.0,29.0,0.0,85.0,87.0,1.0,2.0,78.0,1
-120.336767612,35.5617814064,154.0,125,45,5027.0,305.0,28.0,276.0,87.0,218.0,225.0,86.0,407.0,87.0,0.0,92.0,242.0,1.0,2.0,242.0,1
