Longitude,Latitude,geometry,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-119.88570472418286,34.41461093336766,POINT (-119.88570472418286 34.41461093336766),177.0,86,44,3623.0,282.0,90.0,192.0,135.0,221.0,229.0,131.0,491.0,113.0,0.0,100.0,328.0,1.0,2.0,300.0
-123.61678294616905,40.47768634663924,POINT (-123.61678294616905 40.47768634663924),97.0,101,41,4997.0,243.0,-3.0,246.0,34.0,162.0,171.0,34.0,1371.0,251.0,2.0,79.0,747.0,20.0,28.0,747.0
-115.42842442964032,34.53744946509417,POINT (-115.42842442964032 34.53744946509417),232.0,130,36,8007.0,425.0,65.0,359.0,249.0,300.0,345.0,125.0,150.0,21.0,2.0,47.0,58.0,8.0,57.0,50.0
-120.24673286931713,41.89224769788353,POINT (-120.24673286931713 41.89224769788353),56.0,113,33,7656.0,258.0,-82.0,341.0,-36.0,173.0,173.0,-40.0,472.0,66.0,11.0,45.0,190.0,36.0,36.0,190.0
-116.741368987082,34.96352089572768,POINT (-116.741368987082 34.96352089572768),205.0,130,36,7907.0,399.0,40.0,358.0,109.0,270.0,317.0,99.0,102.0,16.0,1.0,56.0,46.0,4.0,24.0,46.0
-118.03064970827305,36.04477559563565,POINT (-118.03064970827305 36.04477559563565),115.0,121,35,7579.0,301.0,-36.0,338.0,17.0,175.0,225.0,17.0,204.0,44.0,2.0,85.0,123.0,9.0,15.0,123.0
-121.25567801582788,41.01021026461645,POINT (-121.25567801582788 41.01021026461645),113.0,121,34,7682.0,316.0,-31.0,348.0,15.0,228.0,228.0,15.0,522.0,78.0,5.0,57.0,233.0,23.0,23.0,233.0
-118.90857307741632,37.507219676493655,POINT (-118.90857307741632 37.507219676493655),8.0,120,37,6942.0,187.0,-136.0,323.0,-79.0,110.0,110.0,-79.0,708.0,119.0,15.0,65.0,348.0,47.0,47.0,348.0
-122.94907267568885,41.75209572583152,POINT (-122.94907267568885 41.75209572583152),86.0,116,38,6238.0,264.0,-34.0,299.0,8.0,171.0,180.0,8.0,723.0,132.0,9.0,72.0,396.0,38.0,39.0,396.0
-117.70633084389016,37.23875200442438,POINT (-117.70633084389016 37.23875200442438),125.0,116,32,8430.0,320.0,-39.0,360.0,27.0,173.0,246.0,14.0,200.0,25.0,9.0,28.0,73.0,33.0,50.0,60.0
-120.16404478972179,40.47509798031447,POINT (-120.16404478972179 40.47509798031447),100.0,119,33,8052.0,306.0,-52.0,359.0,-3.0,220.0,220.0,-3.0,268.0,36.0,7.0,41.0,107.0,24.0,24.0,107.0
-120.56495035168528,38.750957333217436,POINT (-120.56495035168528 38.750957333217436),122.0,122,38,6577.0,303.0,-13.0,317.0,37.0,218.0,218.0,37.0,1116.0,223.0,4.0,82.0,641.0,16.0,16.0,641.0
-123.24615616753331,41.55389763392064,POINT (-123.24615616753331 41.55389763392064),51.0,111,39,5699.0,217.0,-61.0,279.0,-20.0,126.0,136.0,-20.0,1378.0,268.0,8.0,82.0,799.0,37.0,48.0,799.0
-120.86436423817212,39.797826350979236,POINT (-120.86436423817212 39.797826350979236),80.0,124,37,7058.0,272.0,-60.0,333.0,-10.0,183.0,183.0,-10.0,1294.0,283.0,4.0,83.0,778.0,17.0,17.0,778.0
-123.60822292624988,39.79790232489771,POINT (-123.60822292624988 39.79790232489771),115.0,93,40,4620.0,249.0,20.0,228.0,56.0,175.0,182.0,56.0,1556.0,326.0,2.0,86.0,928.0,15.0,27.0,928.0
